,name,review_score,reviewers,final_price,discount,ori_price,release_date,id,link
0,Red Dead Redemption 2,90,"386,611",3728.67,67,"11.299,00",2019 年 12 月 6 日,1174180,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_2300_150_1
1,潜水员戴夫 DAVE THE DIVER,97,"26,985",1260.0,10,"1.400,00",2023 年 6 月 28 日,1868140,https://store.steampowered.com/app/1868140/_DAVE_THE_DIVER/?snr=1_7_7_2300_150_1
2,艾尔登法环,92,"514,148",6019.3,30,"8.599,00",2022 年 2 月 25 日,1245620,https://store.steampowered.com/app/1245620/_/?snr=1_7_7_2300_150_1
3,极限竞速：地平线 5,88,"117,108",4999.5,50,"9.999,00",2021 年 11 月 9 日,1551360,https://store.steampowered.com/app/1551360/_5/?snr=1_7_7_2300_150_1
4,Grand Theft Auto V,86,"1,444,427",0.0,,,2015 年 4 月 14 日,271590,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_2300_150_1
5,赛博朋克 2077,79,"545,282",4999.5,50,"9.999,00",2020 年 12 月 10 日,1091500,https://store.steampowered.com/app/1091500/_2077/?snr=1_7_7_2300_150_1
6,Sid Meier’s Civilization® VI,85,"195,166",50.39,90,"503,99",2016 年 10 月 21 日,289070,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_2300_150_1
7,霍格沃茨之遗,92,"151,352",7199.2,20,"8.999,00",2023 年 2 月 11 日,990080,https://store.steampowered.com/app/990080/_/?snr=1_7_7_2300_150_1
8,EA SPORTS™《FIFA 23》,53,"102,099",2249.75,75,"8.999,00",2022 年 9 月 30 日,1811260,https://store.steampowered.com/app/1811260/EA_SPORTSFIFA_23/?snr=1_7_7_2300_150_1
9,Sons Of The Forest,83,"121,569",1680.0,20,"2.100,00",2023 年 2 月 24 日,1326470,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_2300_150_1
10,Tom Clancy's Rainbow Six® Siege,86,"972,714",799.6,60,"1.999,00",2015 年 12 月 2 日,359550,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_2300_150_1
11,Project Zomboid,94,"161,117",938.0,33,"1.400,00",2013 年 11 月 9 日,108600,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_2300_150_1
12,Stellaris,88,"106,193",650.0,75,"2.600,00",2016 年 5 月 9 日,281990,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_2300_150_1
13,Euro Truck Simulator 2,97,"478,441",274.75,75,"1.099,00",2012 年 10 月 13 日,227300,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_2300_150_1
14,Sekiro™: Shadows Die Twice - GOTY Edition,94,"171,246",649.5,50,"1.299,00",2019 年 3 月 22 日,814380,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_2300_150_1
15,Cities: Skylines,93,"174,906",630.0,70,"2.100,00",2015 年 3 月 11 日,255710,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_2300_150_1
16,Raft,93,"233,096",150.74,33,"224,99",2022 年 6 月 21 日,648800,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_2300_150_1
17,Marvel’s Spider-Man Remastered,96,"49,958",6699.33,33,"9.999,00",2022 年 8 月 12 日,1817070,https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/?snr=1_7_7_2300_150_1
18,女神异闻录5皇家版,97,"29,553",4799.4,40,"7.999,00",2022 年 10 月 21 日,1687950,https://store.steampowered.com/app/1687950/5/?snr=1_7_7_2300_150_1
19,深岩银河,97,"177,074",374.54,67,"1.134,99",2020 年 5 月 13 日,548430,https://store.steampowered.com/app/548430/_/?snr=1_7_7_2300_150_1
20,DARK SOULS™ III,94,"227,188",4299.5,50,"8.599,00",2016 年 4 月 12 日,374320,https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_2300_150_1
21,MONSTER HUNTER RISE,86,"48,367",1360.0,60,"3.400,00",2022 年 1 月 13 日,1446780,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_2300_150_1
